[[43.646287, -79.37984], 1]
[[43.646313, -79.378578], 1]
[[43.6464, -79.389856], 1]
[[43.6464, -79.379203], 1]
[[43.646405, -79.39032], 1]
[[43.646441, -79.387292], 1]
[[43.646466, -79.391906], 1]
[[43.646483, -79.379142], 1]
[[43.646533, -79.389045], 1]
[[43.646552, -79.390076], 1]
[[43.646569, -79.395378], 1]
[[43.646583, -79.385559], 1]
[[43.646583, -79.376748], 1]
[[43.6466, -79.3872], 1]
[[43.64661, -79.3897], 1]
[[43.646622, -79.373956], 1]
[[43.646641, -79.389389], 1]
[[43.646661, -79.385703], 1]
[[43.646675, -79.375253], 1]
[[43.646677, -79.381334], 1]
[[43.646677, -79.38057], 1]
[[43.646702, -79.375375], 1]
[[43.646721, -79.385817], 1]
[[43.646733, -79.386131], 1]
[[43.646763, -79.374062], 1]
[[43.646769, -79.374078], 1]
[[43.64678, -79.385898], 1]
[[43.646805, -79.39145], 1]
[[43.646811, -79.3741], 1]
[[43.646825, -79.374084], 1]
[[43.646861, -79.374345], 1]
[[43.646878, -79.378956], 1]
[[43.64689, -79.385393], 1]
[[43.6469, -79.378823], 1]
[[43.646905, -79.378998], 1]
[[43.646908, -79.376673], 1]
[[43.646908, -79.375498], 1]
[[43.646919, -79.390206], 1]
[[43.646927, -79.386239], 1]
[[43.646947, -79.39437], 1]
[[43.646947, -79.385873], 1]
[[43.646947, -79.381775], 1]
[[43.646948, -79.378784], 1]
[[43.64695, -79.386253], 1]
[[43.64695, -79.374181], 1]
[[43.646961, -79.385859], 1]
[[43.646988, -79.386781], 1]
[[43.646991, -79.377315], 1]
[[43.647025, -79.385867], 1]
[[43.647029, -79.385557], 1]
[[43.647045, -79.392931], 1]
[[43.64705, -79.389809], 1]
[[43.647063, -79.386148], 1]
[[43.647083, -79.379989], 1]
[[43.647086, -79.386189], 1]
[[43.647097, -79.395553], 1]
[[43.647124, -79.395679], 1]
[[43.647127, -79.391473], 1]
[[43.647127, -79.379745], 1]
[[43.647149, -79.385927], 1]
[[43.647166, -79.388334], 1]
[[43.647175, -79.381], 1]
[[43.647202, -79.38582], 1]
[[43.647208, -79.385228], 1]
[[43.647213, -79.395378], 1]
[[43.647213, -79.395226], 1]
[[43.647233, -79.377892], 1]
[[43.647236, -79.385921], 1]
[[43.64725, -79.37365], 1]
[[43.647255, -79.391334], 1]
[[43.647263, -79.395212], 1]
[[43.647266, -79.395156], 1]
[[43.647275, -79.395181], 1]
[[43.647288, -79.386048], 1]
[[43.647288, -79.375573], 1]
[[43.647294, -79.395417], 1]
[[43.647294, -79.376464], 1]
[[43.647297, -79.379525], 1]
[[43.647311, -79.391823], 1]
[[43.647311, -79.385773], 1]
[[43.64732, -79.376083], 1]
[[43.647322, -79.375992], 1]
[[43.647327, -79.395256], 1]
[[43.647333, -79.386033], 1]
[[43.647334, -79.382314], 1]
[[43.647341, -79.3768], 1]
[[43.647346, -79.376305], 1]
